City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
504,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
514,Henties Bay,,75.85,clear sky,-22.116,14.2845,Fishermans Guest House
515,Bac Lieu,VN,83.1,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
517,Houma,US,82.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
520,Syracuse,IT,75.88,broken clouds,37.0881,15.2792,Hotel Posta
523,Gibara,CU,87.12,few clouds,21.1097,-76.1317,Sol y Mar
524,Hamilton,US,84.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
527,Estreito,BR,79.45,scattered clouds,-5.7833,-43.25,
532,Sabha,LY,83.5,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
533,Kentau,KZ,75.2,few clouds,43.5206,68.5094,Homestay Betty's B&B
538,Buala,SB,83.25,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
539,Trat,TH,75.96,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
543,Gurupi,BR,78.39,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
547,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
549,Sao Miguel Do Tapuio,BR,80.58,broken clouds,-5.5036,-41.3233,Hotel Tropical
551,Dawei,MM,77.54,overcast clouds,14.0833,98.2,Hotel Dawei
553,San Pedro De Macoris,DO,77.13,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
556,Mapiripan,CO,77.76,moderate rain,2.8892,-72.1256,Monserrate
563,San Jose,US,86.09,few clouds,37.3394,-121.895,The Westin San Jose
564,Dhulian,IN,89.87,overcast clouds,24.6833,87.9667,D.M BHABAN
570,Katangi,IN,83.8,scattered clouds,23.45,79.7833,कपिल
574,Yarmouth,US,89.58,clear sky,41.7057,-70.2286,Blue Rock Resort
576,Tawau,MY,75.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
578,Mount Pleasant,US,81.07,mist,32.7941,-79.8626,Best Western Patriots Point
586,Semnan,IR,82.44,clear sky,35.5729,53.3971,Semnan Tourist Hotel
587,Aurora,US,86.65,broken clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
588,Sotouboua,TG,77.34,broken clouds,8.5667,0.9833,Auberge Médina
591,Shelburne,CA,86.49,few clouds,44.0787,-80.2041,The Retreat at the Farm
593,Jega,NG,81.37,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
597,Eirunepe,BR,78.4,broken clouds,-6.6603,-69.8736,Atrás de você
607,Nattam,IN,80.02,overcast clouds,10.2333,78.2333,JPM Lodge
613,Zhanakorgan,KZ,75.06,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
615,Sulangan,PH,82.65,overcast clouds,11.1373,123.7228,Maia's Beach Resort
621,Addanki,IN,85.1,clear sky,15.8167,79.9833,Shanthi residency
622,Pandaria,IN,85.01,clear sky,22.2333,81.4167,"SC,ST Hostel,Samrupara"
624,Forest,US,90.0,broken clouds,37.3638,-79.2897,Days inn
625,Lamu,KE,77.23,light rain,-2.2717,40.902,Lamu House
626,Wanlaweyn,SO,75.96,broken clouds,2.6185,44.8938,GAASHAAN HOME
